titel,pdf,urn,sou-nr,full_titel
1993:33,https://weburn.kb.se/sou/464/urn-nbn-se-kb-digark-4633965.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351214,1993:33,"Åtgärder för att förbereda Sveriges jordbruk och livsmedelsindustri för EG betänkande",
1993:34,https://weburn.kb.se/sou/464/urn-nbn-se-kb-digark-4633626.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265084,1993:34,"Förarprövare betänkande",
1993:36,https://weburn.kb.se/sou/464/urn-nbn-se-kb-digark-4637534.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265085,1993:36,"Lag om totalförsvarsplikt delbetänkande",
1993:37,https://weburn.kb.se/sou/465/urn-nbn-se-kb-digark-4646863.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351215,1993:37,"Justitiekanslern en översyn av JK:s arbetsuppgifter m.m. : betänkande",
1993:38,https://weburn.kb.se/sou/466/urn-nbn-se-kb-digark-4655723.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351216,1993:38,"Hälso- och sjukvården i framtiden tre modeller : rapport från expertgruppen till HSU 2000 : expertrapport till Kommittén om hälso- och sjukvårdens finansiering och organisation, HSU 2000",
1993:39,https://weburn.kb.se/sou/464/urn-nbn-se-kb-digark-4637866.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265091,1993:39,"En gräns för filmcensuren delbetänkande från Våldsskildringsrådet",
1993:41,https://weburn.kb.se/sou/466/urn-nbn-se-kb-digark-4653502.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265096,1993:41,"Folk- och bostadsräkning år 1990 och i framtiden betänkande",
1993:42,https://weburn.kb.se/sou/467/urn-nbn-se-kb-digark-4663231.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265097,1993:42,"Försvarets högskolor delbetänkande",
1993:43,https://weburn.kb.se/sou/465/urn-nbn-se-kb-digark-4645254.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351217,1993:43,"Politik mot arbetslöshet betänkande",
1993:44,https://weburn.kb.se/sou/465/urn-nbn-se-kb-digark-4640556.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265100,1993:44,"Översyn av tjänsteinkomstbeskattningen slutbetänkande",
1993:45,https://weburn.kb.se/sou/464/urn-nbn-se-kb-digark-4636997.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265102,1993:45,"Trosa bryter sig loss bytänkande eller demokratins räddning : rapport till Lokaldemokratikommittén",
1993:46,https://weburn.kb.se/sou/465/urn-nbn-se-kb-digark-4641366.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265104,1993:46,"Vissa kyrkofrågor delbetänkande",
1993:47,https://weburn.kb.se/sou/465/urn-nbn-se-kb-digark-4641886.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351218,1993:47,"Konsekvenser av valmöjligheter inom skola, barnomsorg, äldreomsorg och primärvård rapport till Lokaldemokratikommittén",
1993:48,https://weburn.kb.se/sou/466/urn-nbn-se-kb-digark-4654511.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265107,1993:48,"Kommunala verksamheter i egen förvaltning och i kommunala aktiebolag en jämförande studie : rapport till Lokaldemokratikommittén",
1993:49,https://weburn.kb.se/sou/465/urn-nbn-se-kb-digark-4649893.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265108,1993:49,"Ett år med betalningsansvar [slut]betänkande",
1993:50,https://weburn.kb.se/sou/465/urn-nbn-se-kb-digark-4649124.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265109,1993:50,"Serveringsbestämmelser [förslag till ändringar i lagen (1977:293) om handel med drycker (LHD)] : delbetänkande",
1993:51,https://weburn.kb.se/sou/504/urn-nbn-se-kb-digark-5037414.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265110,1993:51,"Naturupplevelser utan buller en kvalitet att värna : slutbetänkande",
1993:51,https://weburn.kb.se/sou/504/urn-nbn-se-kb-digark-5036575.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1715033,1993:51,"[Buller i fjällområden och skärgårdar m.m.]",
1993:52,https://weburn.kb.se/sou/500/urn-nbn-se-kb-digark-4994548.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265112,1993:52,"Ersättning vid arbetslöshet betänkande. Bilagedel",
1993:52,https://weburn.kb.se/sou/499/urn-nbn-se-kb-digark-4989640.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265111,1993:52,"Ersättning vid arbetslöshet betänkande",
1993:53,https://weburn.kb.se/sou/505/urn-nbn-se-kb-digark-5041563.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265114,1993:53,"Kostnadsutjämning mellan kommuner Bil. 6,betänkande.",
1993:53,https://weburn.kb.se/sou/500/urn-nbn-se-kb-digark-4993986.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265113,1993:53,"Kostnadsutjämning mellan kommuner betänkande",
1993:54,https://weburn.kb.se/sou/467/urn-nbn-se-kb-digark-4662013.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265116,1993:54,"Utvisning på grund av brott delbetänkande",
1993:55,https://weburn.kb.se/sou/471/urn-nbn-se-kb-digark-4702500.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265117,1993:55,"Det allmännas skadeståndsansvar betänkande",
1993:56,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4674000.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265118,1993:56,"Kontrollen över export av strategiskt känsliga varor betänkande",
1993:57,https://weburn.kb.se/sou/465/urn-nbn-se-kb-digark-4642525.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1643583,1993:57,"Beskattning av fastigheter. D. 1",
1993:58,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4672002.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265121,1993:58,"Effektivare ledning i statliga myndigheter betänkande",
1993:59,https://weburn.kb.se/sou/467/urn-nbn-se-kb-digark-4666533.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265122,1993:59,"Ny marknadsföringslag slutbetänkande",
1993:60,https://weburn.kb.se/sou/467/urn-nbn-se-kb-digark-4668553.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265123,1993:60,"Polisens rättsliga befogenheter delbetänkande",
1993:61,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4677112.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265132,1993:61,"Överföring av HIV-smitta genom läkemedlet Preconativ betänkande",
1993:62,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4675998.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265133,1993:62,"Rättssäkerheten vid beskattningen betänkande",
1993:63,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4680761.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265056,1993:63,"Ökat personval Bil.,betänkande.",
1993:64,https://weburn.kb.se/sou/467/urn-nbn-se-kb-digark-4663495.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265136,1993:64,"Frågor för folkbildningen betänkande",
1993:65,https://weburn.kb.se/sou/514/urn-nbn-se-kb-digark-5136328.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265138,1993:65,"Handlingsplan mot buller betänkande. Bilagedel",
1993:65,https://weburn.kb.se/sou/499/urn-nbn-se-kb-digark-4987490.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351220,1993:65,"Handlingsplan mot buller betänkande",
1993:66,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4684001.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265141,1993:66,"Lag om införande av miljöbalken delbetänkande",
1993:67,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4681270.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265142,1993:67,"Slutförvaring av använt kärnbränsle KASAMs yttrande över SKBs FUD-program 92 : rapport",
1993:68,https://weburn.kb.se/sou/485/urn-nbn-se-kb-digark-4846594.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265143,1993:68,"Elkonkurrens med nätmonopol delbetänkande",
1993:69,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4699853.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265147,1993:69,"Revisorerna och EG slutbetänkande",
1993:70,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4681720.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351221,1993:70,"Strategi för småföretagsutveckling betänkande",
1993:71,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4678792.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265152,1993:71,"Organisationernas bidrag betänkande",
1993:72,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4675991.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265153,1993:72,"Att inhämta synpunkter från medborgarna det kommunala omröstningsinstitutet i tillämpning : rapport till Lokaldemokratikommittén",
1993:73,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4681351.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265154,1993:73,"Radikala organisationsförändringar i kommuner och landsting rapport till Lokaldemokratikommittén",
1993:74,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4683421.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265155,1993:74,"Kvalitetsmätning i kommunal verksamhet rapport till Lokaldemokratikommittén",
1993:75,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4673031.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265158,1993:75,"Vissa mervärdeskattefrågor II offentlig verksamhet m.m. : delbetänkande",
1993:76,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4670121.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265159,1993:76,"Verkställighet av fängelsestraff huvudbetänkande",
1993:77,https://weburn.kb.se/sou/467/urn-nbn-se-kb-digark-4664984.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265160,1993:77,"Kommunal tjänsteexport och internationellt bistånd delbetänkande",
1993:78,https://weburn.kb.se/sou/471/urn-nbn-se-kb-digark-4704050.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265161,1993:78,"Miljöskadeförsäkringen i framtiden slutbetänkande",
1993:79,https://weburn.kb.se/sou/471/urn-nbn-se-kb-digark-4701239.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265163,1993:79,"Handel och miljö mot en hållbar spelplan : rapport från Miljövårdsberedningen (Jo 1968:A)",
1993:80,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4675221.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265164,1993:80,"Statsförvaltningen och EG betänkande",
1993:81,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4673322.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265168,1993:81,"Översyn av arbetsmiljölagen betänkande",
1993:82,https://weburn.kb.se/sou/467/urn-nbn-se-kb-digark-4664163.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351222,1993:82,"Frivilligt socialt arbete kartläggning och kunskapsöversikt : rapport",
1993:83,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4682542.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1704825,1993:83,"Statistik och integritet. D. 1",
1993:84,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4683259.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265172,1993:84,"Innovationer för Sverige betänkande",
1993:85,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4677270.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351223,1993:85,"Ursprung och utbildning social snedrekrytering till högre studier : huvudbetänkande",
1993:86,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4672341.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351225,1993:86,"Amningsvänliga sjukhus för att skydda, stödja och främja amning UNICEFWHOs globala satsning : det svenska arbetets bedrivande samt förslag till åtgärder för en svensk amningsstrategi : betänkande",
1993:87,https://weburn.kb.se/sou/467/urn-nbn-se-kb-digark-4665516.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265179,1993:87,"Beredskapslagring av olja delbetänkande",
1993:88,https://weburn.kb.se/sou/467/urn-nbn-se-kb-digark-4669484.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265180,1993:88,"Produktsäkerhetslagen och EG delbetänkande",
1993:89,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4684510.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351226,1993:89,"Massflykt till Sverige av asyl- och hjälpsökande [scenarion och överväganden om påfrestningar i det fredstida samhället] : delbetänkande",
1993:90,https://weburn.kb.se/sou/383/urn-nbn-se-kb-digark-3823407.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351227,1993:90,"Lokal demokrati i utveckling slutbetänkande",
1993:91,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4680202.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351228,1993:91,"Socialtjänstens roll i samhällsplanering och samhällsarbete en kunskapsöversikt och ett diskussionsunderlag : rapport",
1993:92,https://weburn.kb.se/sou/471/urn-nbn-se-kb-digark-4704348.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265186,1993:92,"Den centrala polisorganisationen betänkande",
1993:93,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4684922.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351229,1993:93,"Vårdens svåra val rapport från Utredningen om prioriteringar inom hälso- och sjukvården",
1993:94,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4692786.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265195,1993:94,"Anpassad kontroll av byggandet delbetänkande",
1993:95,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4685040.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265200,1993:95,"Ansvars- och uppgiftsfördelning inom det civila försvaret delbetänkande",
1993:96,https://weburn.kb.se/sou/468/urn-nbn-se-kb-digark-4679230.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265201,1993:96,"Förändringar i lönegarantisystemet betänkande",
1993:97,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4687358.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265202,1993:97,"Västsverige och Skåne regioner i förändring : delbetänkande",
1993:98,https://weburn.kb.se/sou/505/urn-nbn-se-kb-digark-5042263.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1732004,1993:98,"Partnerskap D. Bbetänkande.",
1993:98,https://weburn.kb.se/sou/504/urn-nbn-se-kb-digark-5036651.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1732003,1993:98,"Partnerskap D. Abetänkande.",
1993:99,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4686081.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265206,1993:99,"Kart- och fastighetsverksamhet i myndighet och bolag principbetänkande",
1993:100,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4693578.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265211,1993:100,"Free and fair elections - and beyond final report from the International Electoral Institute Commission",
1993:101,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4690148.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265212,1993:101,"Lag om totalförsvarsplikt följdändringarna : slutbetänkande",
1993:102,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4690859.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351231,1993:102,"Kvalitet och dynamik förslag från Resursberedningen rörande statsmakternas resurstilldelning till grundläggande högskoleutbildning samt forskning och forskarutbildning : delbetänkande",
1993:103,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4691098.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265216,1993:103,"Svenskt fiske slutbetänkande",
1993:104,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4687497.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265221,1993:104,"Stabilisering av bostadskreditmarknaden betänkande",
1993:105,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4697361.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265222,1993:105,"Monopolkontroll på en avreglerad elmarknad betänkande",
1993:106,https://weburn.kb.se/sou/471/urn-nbn-se-kb-digark-4705999.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351232,1993:106,"Läkemedel och kompetens delbetänkande",
1993:107,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4699239.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265224,1993:107,"Statistik över finansiella marknader betänkande",
1993:108,https://weburn.kb.se/sou/471/urn-nbn-se-kb-digark-4705528.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8217789,1993:108,"Försäkringsrörelse i förändring 2delbetänkande.",
1993:109,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4689537.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265225,1993:109,"Förtroendevaldas ansvar vid domstolstrots och lagtrots delbetänkande",
1993:110,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4687749.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265227,1993:110,"Integritet och effektivitet på kreditupplysningsområdet slutbetänkande",
1993:111,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4689089.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351233,1993:111,"Borta bra men hemma bäst? fakta om äldre i Europa : delbetänkande",
1993:112,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4692935.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265232,1993:112,"Kommunal näringspolitik i Danmark utredningsrapport till Lokaldemokratikommittén",
1993:113,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4699618.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351234,1993:113,"Invandring och asyl i teori och praktik en jämförelse mellan tolv länders politik : rapport från Invandrar- och flyktingkommittén",
1993:114,https://weburn.kb.se/sou/504/urn-nbn-se-kb-digark-5033652.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265240,1993:114,"Konto, clearing och avveckling betänkande",
1993:114,https://weburn.kb.se/sou/503/urn-nbn-se-kb-digark-5027247.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1793913,1993:114,"Book-entry, clearing and settlement summary of the report SOU 1993:114 Konto, clearing och avveckling",
1993:115,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4694119.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265243,1993:115,"Social trygghet och EES slutbetänkande",
1993:116,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4695923.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265244,1993:116,"Riksbankens och Finansinspektionens beredskapsansvar delbetänkande",
1993:117,https://weburn.kb.se/sou/472/urn-nbn-se-kb-digark-4712465.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351235,1993:117,"EG, kvinnorna och välfärden social välfärd och jämställdhet mellan kvinnor och män i ett europeiskt perspektiv : betänkande",
1993:118,https://weburn.kb.se/sou/471/urn-nbn-se-kb-digark-4704640.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265249,1993:118,"Morot och piska för bättre miljö förslag om utvidgad användning av ekonomiska styrmedel mot kväveoxidutsläpp : betänkande",
1993:119,https://weburn.kb.se/sou/471/urn-nbn-se-kb-digark-4708011.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265251,1993:119,"JAS 39 Gripen en granskning av JAS-projektet : betänkande",
1993:120,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4696191.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265255,1993:120,"Uppehållstillstånd och avvisning vilken betydelse skall en utlännings vandel tillmätas? : delbetänkande",
1994:99A,https://weburn.kb.se/sou/512/urn-nbn-se-kb-digark-5111975.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1866273,1994:99A,"Domaren i Sverige inför framtiden D. Autgångspunkter för fortsatt utredningsarbete.",
1994:99B,https://weburn.kb.se/sou/500/urn-nbn-se-kb-digark-4993300.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1866274,1994:99B,"Domaren i Sverige inför framtiden D. Butgångspunkter för fortsatt utredningsarbete.",
1994:1,https://weburn.kb.se/sou/469/urn-nbn-se-kb-digark-4688489.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265233,1994:1,"Ändrad ansvarsfördelning för den statliga statistiken betänkande",
1994:2,https://weburn.kb.se/sou/512/urn-nbn-se-kb-digark-5115486.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265235,1994:2,"Kommunerna, landstingen och Europa betänkande. Bilagedel",
1994:2,https://weburn.kb.se/sou/512/urn-nbn-se-kb-digark-5110009.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265280,1994:2,"The municipalities, the county councils and Europe summary",
1994:2,https://weburn.kb.se/sou/508/urn-nbn-se-kb-digark-5077957.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265234,1994:2,"Kommunerna, landstingen och Europa betänkande",
1994:3,https://weburn.kb.se/sou/471/urn-nbn-se-kb-digark-4707342.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265245,1994:3,"Mäns föreställningar om kvinnor och chefskap betänkande",
1994:4,https://weburn.kb.se/sou/473/urn-nbn-se-kb-digark-4720906.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265256,1994:4,"Vapenlagen och EG betänkande",
1994:5,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4696548.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265261,1994:5,"Kriminalvård och psykiatri slutbetänkande",
1994:6,https://weburn.kb.se/sou/507/urn-nbn-se-kb-digark-5066684.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1835308,1994:6,"Sweden and Europe committee of enquiry: Consequences of the EU for Sweden - the economy : summary and conclusions",
1994:6,https://weburn.kb.se/sou/506/urn-nbn-se-kb-digark-5051246.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351238,1994:6,"Sverige och Europa Bil. 4,en samhällsekonomisk konsekvensanalys.",
1994:6,https://weburn.kb.se/sou/506/urn-nbn-se-kb-digark-5050877.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265268,1994:6,"Sverige och Europa Bil. 6,en samhällsekonomisk konsekvensanalys.",
1994:6,https://weburn.kb.se/sou/505/urn-nbn-se-kb-digark-5048525.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265270,1994:6,"Sverige och Europa Bil. 8,en samhällsekonomisk konsekvensanalys.",
1994:6,https://weburn.kb.se/sou/505/urn-nbn-se-kb-digark-5048047.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351239,1994:6,"Sverige och Europa Bil. 7,en samhällsekonomisk konsekvensanalys.",
1994:6,https://weburn.kb.se/sou/505/urn-nbn-se-kb-digark-5047607.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265267,1994:6,"Sverige och Europa Bil. 5,en samhällsekonomisk konsekvensanalys.",
1994:6,https://weburn.kb.se/sou/505/urn-nbn-se-kb-digark-5047335.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265265,1994:6,"Sverige och Europa Bil. 3,en samhällsekonomisk konsekvensanalys.",
1994:6,https://weburn.kb.se/sou/505/urn-nbn-se-kb-digark-5044574.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265263,1994:6,"Sverige och Europa Bil. 1,en samhällsekonomisk konsekvensanalys.",
1994:6,https://weburn.kb.se/sou/505/urn-nbn-se-kb-digark-5043541.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351237,1994:6,"Sverige och Europa Bil. 2,en samhällsekonomisk konsekvensanalys.",
1994:6,https://weburn.kb.se/sou/504/urn-nbn-se-kb-digark-5035905.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265271,1994:6,"Sverige och Europa Bil. 9,en samhällsekonomisk konsekvensanalys.",
1994:6,https://weburn.kb.se/sou/500/urn-nbn-se-kb-digark-4998215.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8351236,1994:6,"Sverige och Europa en samhällsekonomisk konsekvensanalys : betänkande",
1994:7,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4698318.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265272,1994:7,"EU, EES och miljön betänkande",
1994:8,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4697900.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265275,1994:8,"Historiskt vägval följderna för Sverige i utrikes- och säkerhetspolitiskt hänseende av att bli, respektive inte bli medlem i Europeiska unionen : betänkande",
1994:9,https://weburn.kb.se/sou/471/urn-nbn-se-kb-digark-4708870.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265279,1994:9,"Förnyelse och kontinuitet om konst och kultur i framtiden",
1994:10,https://weburn.kb.se/sou/470/urn-nbn-se-kb-digark-4697160.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265281,1994:10,"Anslutning till EU förslag till övergripande lagstiftning : betänkande",
1994:11,https://weburn.kb.se/sou/454/urn-nbn-se-kb-digark-4538741.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265283,1994:11,"Om kriget kommit- förberedelser för mottagandet av militärt bistånd 1949-1969. Bilagor",
1994:11,https://weburn.kb.se/sou/452/urn-nbn-se-kb-digark-4513430.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265282,1994:11,"Om kriget kommit- förberedelser för mottagandet av militärt bistånd 1949-1969 : betänkande",
1994:11E,https://weburn.kb.se/sou/451/urn-nbn-se-kb-digark-4507730.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-7265342,1994:11E,"Had there been a war- preparations for the reception of military assistance 1949-1969 : report of the Commission on Neutrality Policy",
