titel,pdf,urn,sou-nr,full_titel
1922:27,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1971619.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-896962,1922:27,"Redogörelse för de ecklesiastika boställena. 5",
1922:28 första serien,https://weburn.kb.se/sou/585/urn-nbn-se-kb-digark-5840751.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1470233,1922:28 första serien,"Betänkande angående statens övertagande i viss omfattning av förädlingsverksamheten beträffande avkastningen från statens skogar",
1922:28,https://weburn.kb.se/sou/200/urn-nbn-se-kb-digark-1992137.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1699079,1922:28,"Betänkande och förslag rörande brandskyddsföreskrifter för byggnader och lägenheter, använda som offentliga samlingslokaler eller för drivande av hotell- eller pensionatrörelse eller dylikt. 7",
1922:29 första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5805276.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1559333,1922:29 första serien,"Skolkommissionens betänkande. 2",
1922:29,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2041808.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2504040,1922:29,"Flottans skolsakkunnigas betänkande. 3",
1922:30 första serien,https://weburn.kb.se/sou/579/urn-nbn-se-kb-digark-5789466.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483843,1922:30 första serien,"Utredning och förslag angående vården av blinda",
1922:30,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1977569.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483869,1922:30,"Åtgärder mot godsanhopning i tullpackhus m. m. Generaltullstyrelsens underdåniga utlåtanden över 1914 års tullkommissions betänkanden",
1922:31 första serien,https://weburn.kb.se/sou/584/urn-nbn-se-kb-digark-5837046.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-3112590,1922:31 första serien,"Järnvägsstyrelsens erinringar med anledning av Ostkustbanekommitténs promemoria av den 23 mars 1922.",
1922:31,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2036127.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-591730,1922:31,"Sverges familjenamn 1920 Suppl. nr 1förteckning.",
1922:32 första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5803246.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1559332,1922:32 första serien,"Skolkommissionens betänkande. 3",
1922:32,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2033999.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220810,1922:32,"Redogörelser för inventering av odlingsjord",
1922:33 B första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5804217.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1559335,1922:33 B första serien,"Skolkommissionens betänkande. 1",
1922:33 A första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5802185.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8221754,1922:33 A första serien,"Skolkommissionens betänkande. 1",
1922:33,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2162231.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483871,1922:33,"Förslag till reviderad lag om arbetstidens begränsning jämte utredningar rörande arbetstidslagstiftningens verkningar och arbetstidsförhållandena inom vissa yrken",
1922:34 första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5800916.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-417754,1922:34 första serien,"Utlåtande med förslag till förordning om åtgärder till skydd mot så kallad valutadumping",
